"53001","Adams","WA"
"53003","Asotin","WA"
"53005","Benton","WA"
"53007","Chelan","WA"
"53009","Clallam","WA"
"53011","Clark","WA"
"53013","Columbia","WA"
"53015","Cowlitz","WA"
"53017","Douglas","WA"
"53019","Ferry","WA"
"53021","Franklin","WA"
"53023","Garfield","WA"
"53025","Grant","WA"
"53027","Grays Harbor","WA"
"53029","Island","WA"
"53031","Jefferson","WA"
"53033","King","WA"
"53035","Kitsap","WA"
"53037","Kittitas","WA"
"53039","Klickitat","WA"
"53041","Lewis","WA"
"53043","Lincoln","WA"
"53045","Mason","WA"
"53047","Okanogan","WA"
"53049","Pacific","WA"
"53051","Pend Oreille","WA"
"53053","Pierce","WA"
"53055","San Juan","WA"
"53057","Skagit","WA"
"53059","Skamania","WA"
"53061","Snohomish","WA"
"53063","Spokane","WA"
"53065","Stevens","WA"
"53067","Thurston","WA"
"53069","Wahkiakum","WA"
"53071","Walla Walla","WA"
"53073","Whatcom","WA"
"53075","Whitman","WA"
"53077","Yakima","WA"
"06001","Alameda","CA"
"06003","Alpine","CA"
"06005","Amador","CA"
"06007","Butte","CA"
"06009","Calaveras","CA"
"06011","Colusa","CA"
"06013","Contra Costa","CA"
"06015","Del Norte","CA"
"06017","El Dorado","CA"
"06019","Fresno","CA"
"06021","Glenn","CA"
"06023","Humboldt","CA"
"06025","Imperial","CA"
"06027","Inyo","CA"
"06029","Kern","CA"
"06031","Kings","CA"
"06033","Lake","CA"
"06035","Lassen","CA"
"06037","Los Angeles","CA"
"06039","Madera","CA"
"06041","Marin","CA"
"06043","Mariposa","CA"
"06045","Mendocino","CA"
"06047","Merced","CA"
"06049","Modoc","CA"
"06051","Mono","CA"
"06053","Monterey","CA"
"06055","Napa","CA"
"06057","Nevada","CA"
"06059","Orange","CA"
"06061","Placer","CA"
"06063","Plumas","CA"
"06065","Riverside","CA"
"06067","Sacramento","CA"
"06069","San Benito","CA"
"06071","San Bernardino","CA"
"06073","San Diego","CA"
"06075","San Francisco","CA"
"06077","San Joaquin","CA"
"06079","San Luis Obispo","CA"
"06081","San Mateo","CA"
"06083","Santa Barbara","CA"
"06085","Santa Clara","CA"
"06087","Santa Cruz","CA"
"06089","Shasta","CA"
"06091","Sierra","CA"
"06093","Siskiyou","CA"
"06095","Solano","CA"
"06097","Sonoma","CA"
"06099","Stanislaus","CA"
"06101","Sutter","CA"
"06103","Tehama","CA"
"06105","Trinity","CA"
"06107","Tulare","CA"
"06109","Tuolumne","CA"
"06111","Ventura","CA"
"06113","Yolo","CA"
"06115","Yuba","CA"
"41001","Baker","OR"
"41003","Benton","OR"
"41005","Clackamas","OR"
"41007","Clatsop","OR"
"41009","Columbia","OR"
"41011","Coos","OR"
"41013","Crook","OR"
"41015","Curry","OR"
"41017","Deschutes","OR"
"41019","Douglas","OR"
"41021","Gilliam","OR"
"41023","Grant","OR"
"41025","Harney","OR"
"41027","Hood River","OR"
"41029","Jackson","OR"
"41031","Jefferson","OR"
"41033","Josephine","OR"
"41035","Klamath","OR"
"41037","Lake","OR"
"41039","Lane","OR"
"41041","Lincoln","OR"
"41043","Linn","OR"
"41045","Malheur","OR"
"41047","Marion","OR"
"41049","Morrow","OR"
"41051","Multnomah","OR"
"41053","Polk","OR"
"41055","Sherman","OR"
"41057","Tillamook","OR"
"41059","Umatilla","OR"
"41061","Union","OR"
"41063","Wallowa","OR"
"41065","Wasco","OR"
"41067","Washington","OR"
"41069","Wheeler","OR"
"41071","Yamhill","OR"
"08001","Adams","CO"
"08003","Alamosa","CO"
"08005","Arapahoe","CO"
"08007","Archuleta","CO"
"08009","Baca","CO"
"08011","Bent","CO"
"08013","Boulder","CO"
"08015","Chaffee","CO"
"08017","Cheyenne","CO"
"08019","Clear Creek","CO"
"08021","Conejos","CO"
"08023","Costilla","CO"
"08025","Crowley","CO"
"08027","Custer","CO"
"08029","Delta","CO"
"08031","Denver","CO"
"08033","Dolores","CO"
"08035","Douglas","CO"
"08037","Eagle","CO"
"08039","Elbert","CO"
"08041","El Paso","CO"
"08043","Fremont","CO"
"08045","Garfield","CO"
"08047","Gilpin","CO"
"08049","Grand","CO"
"08051","Gunnison","CO"
"08053","Hinsdale","CO"
"08055","Huerfano","CO"
"08057","Jackson","CO"
"08059","Jefferson","CO"
"08061","Kiowa","CO"
"08063","Kit Carson","CO"
"08065","Lake","CO"
"08067","La Plata","CO"
"08069","Larimer","CO"
"08071","Las Animas","CO"
"08073","Lincoln","CO"
"08075","Logan","CO"
"08077","Mesa","CO"
"08079","Mineral","CO"
"08081","Moffat","CO"
"08083","Montezuma","CO"
"08085","Montrose","CO"
"08087","Morgan","CO"
"08089","Otero","CO"
"08091","Ouray","CO"
"08093","Park","CO"
"08095","Phillips","CO"
"08097","Pitkin","CO"
"08099","Prowers","CO"
"08101","Pueblo","CO"
"08103","Rio Blanco","CO"
"08105","Rio Grande","CO"
"08107","Routt","CO"
"08109","Saguache","CO"
"08111","San Juan","CO"
"08113","San Miguel","CO"
"08115","Sedgwick","CO"
"08117","Summit","CO"
"08119","Teller","CO"
"08121","Washington","CO"
"08123","Weld","CO"
"08125","Yuma","CO"
"56001","Albany","WY"
"56003","Big Horn","WY"
"56005","Campbell","WY"
"56007","Carbon","WY"
"56009","Converse","WY"
"56011","Crook","WY"
"56013","Fremont","WY"
"56015","Goshen","WY"
"56017","Hot Springs","WY"
"56019","Johnson","WY"
"56021","Laramie","WY"
"56023","Lincoln","WY"
"56025","Natrona","WY"
"56027","Niobrara","WY"
"56029","Park","WY"
"56031","Platte","WY"
"56033","Sheridan","WY"
"56035","Sublette","WY"
"56037","Sweetwater","WY"
"56039","Teton","WY"
"56041","Uinta","WY"
"56043","Washakie","WY"
"56045","Weston","WY"
"49001","Beaver","UT"
"49003","Box Elder","UT"
"49005","Cache","UT"
"49007","Carbon","UT"
"49009","Daggett","UT"
"49011","Davis","UT"
"49013","Duchesne","UT"
"49015","Emery","UT"
"49017","Garfield","UT"
"49019","Grand","UT"
"49021","Iron","UT"
"49023","Juab","UT"
"49025","Kane","UT"
"49027","Millard","UT"
"49029","Morgan","UT"
"49031","Piute","UT"
"49033","Rich","UT"
"49035","Salt Lake","UT"
"49037","San Juan","UT"
"49039","Sanpete","UT"
"49041","Sevier","UT"
"49043","Summit","UT"
"49045","Tooele","UT"
"49047","Uintah","UT"
"49049","Utah","UT"
"49051","Wasatch","UT"
"49053","Washington","UT"
"49055","Wayne","UT"
"49057","Weber","UT"
"35001","Bernalillo","NM"
"35003","Catron","NM"
"35005","Chaves","NM"
"35006","Cibola","NM"
"35007","Colfax","NM"
"35009","Curry","NM"
"35011","De Baca","NM"
"35013","Dona Ana","NM"
"35015","Eddy","NM"
"35017","Grant","NM"
"35019","Guadalupe","NM"
"35021","Harding","NM"
"35023","Hidalgo","NM"
"35025","Lea","NM"
"35027","Lincoln","NM"
"35028","Los Alamos","NM"
"35029","Luna","NM"
"35031","McKinley","NM"
"35033","Mora","NM"
"35035","Otero","NM"
"35037","Quay","NM"
"35039","Rio Arriba","NM"
"35041","Roosevelt","NM"
"35043","Sandoval","NM"
"35045","San Juan","NM"
"35047","San Miguel","NM"
"35049","Santa Fe","NM"
"35051","Sierra","NM"
"35053","Socorro","NM"
"35055","Taos","NM"
"35057","Torrance","NM"
"35059","Union","NM"
"35061","Valencia","NM"
"32001","Churchill","NV"
"32003","Clark","NV"
"32005","Douglas","NV"
"32007","Elko","NV"
"32009","Esmeralda","NV"
"32011","Eureka","NV"
"32013","Humboldt","NV"
"32015","Lander","NV"
"32017","Lincoln","NV"
"32019","Lyon","NV"
"32021","Mineral","NV"
"32023","Nye","NV"
"32027","Pershing","NV"
"32029","Storey","NV"
"32031","Washoe","NV"
"32033","White Pine","NV"
"32510","Carson City","NV"
"30001","Beaverhead","MT"
"30003","Big Horn","MT"
"30005","Blaine","MT"
"30007","Broadwater","MT"
"30009","Carbon","MT"
"30011","Carter","MT"
"30013","Cascade","MT"
"30015","Chouteau","MT"
"30017","Custer","MT"
"30019","Daniels","MT"
"30021","Dawson","MT"
"30023","Deer Lodge","MT"
"30025","Fallon","MT"
"30027","Fergus","MT"
"30029","Flathead","MT"
"30031","Gallatin","MT"
"30033","Garfield","MT"
"30035","Glacier","MT"
"30037","Golden Valley","MT"
"30039","Granite","MT"
"30041","Hill","MT"
"30043","Jefferson","MT"
"30045","Judith Basin","MT"
"30047","Lake","MT"
"30049","Lewis and Clark","MT"
"30051","Liberty","MT"
"30053","Lincoln","MT"
"30055","McCone","MT"
"30057","Madison","MT"
"30059","Meagher","MT"
"30061","Mineral","MT"
"30063","Missoula","MT"
"30065","Musselshell","MT"
"30067","Park","MT"
"30069","Petroleum","MT"
"30071","Phillips","MT"
"30073","Pondera","MT"
"30075","Powder River","MT"
"30077","Powell","MT"
"30079","Prairie","MT"
"30081","Ravalli","MT"
"30083","Richland","MT"
"30085","Roosevelt","MT"
"30087","Rosebud","MT"
"30089","Sanders","MT"
"30091","Sheridan","MT"
"30093","Silver Bow","MT"
"30095","Stillwater","MT"
"30097","Sweet Grass","MT"
"30099","Teton","MT"
"30101","Toole","MT"
"30103","Treasure","MT"
"30105","Valley","MT"
"30107","Wheatland","MT"
"30109","Wibaux","MT"
"30111","Yellowstone","MT"
"30113","Yellowstone Nat Park","MT"
"15001","Hawaii","HI"
"15003","Honolulu","HI"
"15007","Kauai","HI"
"15009","Maui","HI"
"16001","Ada","ID"
"16003","Adams","ID"
"16005","Bannock","ID"
"16007","Bear Lake","ID"
"16009","Benewah","ID"
"16011","Bingham","ID"
"16013","Blaine","ID"
"16015","Boise","ID"
"16017","Bonner","ID"
"16019","Bonneville","ID"
"16021","Boundary","ID"
"16023","Butte","ID"
"16025","Camas","ID"
"16027","Canyon","ID"
"16029","Caribou","ID"
"16031","Cassia","ID"
"16033","Clark","ID"
"16035","Clearwater","ID"
"16037","Custer","ID"
"16039","Elmore","ID"
"16041","Franklin","ID"
"16043","Fremont","ID"
"16045","Gem","ID"
"16047","Gooding","ID"
"16049","Idaho","ID"
"16051","Jefferson","ID"
"16053","Jerome","ID"
"16055","Kootenai","ID"
"16057","Latah","ID"
"16059","Lemhi","ID"
"16061","Lewis","ID"
"16063","Lincoln","ID"
"16065","Madison","ID"
"16067","Minidoka","ID"
"16069","Nez Perce","ID"
"16071","Oneida","ID"
"16073","Owyhee","ID"
"16075","Payette","ID"
"16077","Power","ID"
"16079","Shoshone","ID"
"16081","Teton","ID"
"16083","Twin Falls","ID"
"16085","Valley","ID"
"16087","Washington","ID"
"02013","Aleutians East","AK"
"02016","Aleutians West","AK"
"02020","Anchorage","AK"
"02050","Bethel","AK"
"02060","Bristol Bay","AK"
"02068","Denali","AK"
"02070","Dillingham","AK"
"02090","Fairbanks North Star","AK"
"02100","Haines","AK"
"02110","Juneau","AK"
"02122","Kenai Peninsula","AK"
"02130","Ketchikan Gateway","AK"
"02150","Kodiak Island","AK"
"02164","Lake and Peninsula","AK"
"02170","Matanuska-Susitna","AK"
"02180","Nome","AK"
"02185","North Slope","AK"
"02188","Northwest Arctic","AK"
"02201","Prince of Wales-Outer Ketchikan","AK"
"02220","Sitka","AK"
"02232","Skagway-Hoonah-Angoon","AK"
"02240","Southeast Fairbanks","AK"
"02261","Valdez-Cordova","AK"
"02270","Wade Hampton","AK"
"02280","Wrangell-Petersburg","AK"
"02282","Yakutat","AK"
"02290","Yukon-Koyukuk","AK"
"04001","Apache","AZ"
"04003","Cochise","AZ"
"04005","Coconino","AZ"
"04007","Gila","AZ"
"04009","Graham","AZ"
"04011","Greenlee","AZ"
"04012","La Paz","AZ"
"04013","Maricopa","AZ"
"04015","Mohave","AZ"
"04017","Navajo","AZ"
"04019","Pima","AZ"
"04021","Pinal","AZ"
"04023","Santa Cruz","AZ"
"04025","Yavapai","AZ"
"04027","Yuma","AZ"
